"municipio";"cod_ibge";"nome_meso";"nome_micro";"count"
"DARIO MEIRA";"2910008";"Centro Sul Baiano";"Vitória da Conquista";"466"
"DIAS DAVILA";"2910057";"Metropolitana de Salvador";"Salvador";"23902"
"DOM MACEDO COSTA";"2910206";"Metropolitana de Salvador";"Santo Antônio de Jesus";"590"
"ELISIO MEDRADO";"2910305";"Centro Norte Baiano";"Feira de Santana";"269"
"ENCRUZILHADA";"2910404";"Centro Sul Baiano";"Itapetinga";"776"
"ENTRE RIOS";"2910503";"Nordeste Baiano";"Entre Rios";"7167"
"ESPLANADA";"2910602";"Nordeste Baiano";"Entre Rios";"3804"
"EUCLIDES DA CUNHA";"2910701";"Nordeste Baiano";"Euclides da Cunha";"14595"
"EUNAPOLIS";"2910727";"Sul Baiano";"Porto Seguro";"19357"
"FATIMA";"2910750";"Nordeste Baiano";"Ribeira do Pombal";"7337"
"FEIRA DE SANTANA";"2910800";"Centro Norte Baiano";"Feira de Santana";"140231"
"FILADELFIA";"2910859";"Centro Norte Baiano";"Senhor do Bonfim";"2700"
"FIRMINO ALVES";"2910909";"Sul Baiano";"Ilhéus-Itabuna";"298"
"FLORESTA AZUL";"2911006";"Sul Baiano";"Ilhéus-Itabuna";"1042"
"FORMOSA DO RIO PRETO";"2911105";"Extremo Oeste Baiano";"Barreiras";"943"
"GANDU";"2911204";"Sul Baiano";"Ilhéus-Itabuna";"6789"
"GAVIAO";"2911253";"Nordeste Baiano";"Serrinha";"573"
"GENTIO DO OURO";"2911303";"Centro Norte Baiano";"Irecê";"185"
"GLORIA";"2911402";"Vale São-Franciscano da Bahia";"Paulo Afonso";"552"
"GONGOGI";"2911501";"Sul Baiano";"Ilhéus-Itabuna";"596"
"GOVERNADOR MANGABEIRA";"2911600";"Metropolitana de Salvador";"Santo Antônio de Jesus";"3567"
"GUAJERU";"2911659";"Centro Sul Baiano";"Brumado";"55"
"GUANAMBI";"2911709";"Centro Sul Baiano";"Guanambi";"20080"
"GUARATINGA";"2911808";"Sul Baiano";"Porto Seguro";"1212"
"HELIOPOLIS";"2911857";"Nordeste Baiano";"Ribeira do Pombal";"994"
"IACU";"2911907";"Centro Norte Baiano";"Itaberaba";"4576"
"IBIASSUCE";"2912004";"Centro Sul Baiano";"Guanambi";"729"
"IBICOARA";"2912202";"Centro Sul Baiano";"Seabra";"26"
"IBICUI";"2912301";"Centro Sul Baiano";"Vitória da Conquista";"1494"
"IBIPEBA";"2912400";"Centro Norte Baiano";"Irecê";"3255"
"IBIPITANGA";"2912509";"Centro Sul Baiano";"Boquira";"81"
"IBIQUERA";"2912608";"Centro Norte Baiano";"Itaberaba";"145"
"IBIRAPITANGA";"2912707";"Sul Baiano";"Ilhéus-Itabuna";"963"
"IBIRAPUA";"2912806";"Sul Baiano";"Porto Seguro";"786"
"IBIRATAIA";"2912905";"Sul Baiano";"Ilhéus-Itabuna";"1937"
"IBITIARA";"2913002";"Centro Sul Baiano";"Boquira";"103"
"IBITITA";"2913101";"Centro Norte Baiano";"Irecê";"3890"
"IBOTIRAMA";"2913200";"Vale São-Franciscano da Bahia";"Barra";"6585"
"ICHU";"2913309";"Nordeste Baiano";"Serrinha";"1602"
"IGRAPIUNA";"2913457";"Sul Baiano";"Valença";"545"
"IGUAI";"2913507";"Centro Sul Baiano";"Vitória da Conquista";"3477"
"ILHEUS";"2913606";"Sul Baiano";"Ilhéus-Itabuna";"40547"
"INHAMBUPE";"2913705";"Nordeste Baiano";"Alagoinhas";"3813"
"IPECAETA";"2913804";"Centro Norte Baiano";"Feira de Santana";"2176"
"IPIAU";"2913903";"Sul Baiano";"Ilhéus-Itabuna";"8689"
"IPIRA";"2914000";"Centro Norte Baiano";"Feira de Santana";"12984"
"IPUPIARA";"2914109";"Centro Sul Baiano";"Boquira";"755"
"IRAJUBA";"2914208";"Centro Sul Baiano";"Jequié";"155"
"IRAMAIA";"2914307";"Centro Sul Baiano";"Jequié";"501"
"IRAQUARA";"2914406";"Centro Norte Baiano";"Irecê";"524"
"IRARA";"2914505";"Centro Norte Baiano";"Feira de Santana";"2118"
"IRECE";"2914604";"Centro Norte Baiano";"Irecê";"23620"
"ITABELA";"2914653";"Sul Baiano";"Porto Seguro";"3229"
"ITABERABA";"2914703";"Centro Norte Baiano";"Itaberaba";"21302"
"ITABUNA";"2914802";"Sul Baiano";"Ilhéus-Itabuna";"13"
"ITACARE";"2914901";"Sul Baiano";"Ilhéus-Itabuna";"4651"
"ITAETE";"2915007";"Centro Sul Baiano";"Seabra";"674"
"ITAGI";"2915106";"Centro Sul Baiano";"Jequié";"756"
"ITAGIBA";"2915205";"Sul Baiano";"Ilhéus-Itabuna";"892"
"ITAGIMIRIM";"2915304";"Sul Baiano";"Porto Seguro";"662"
"ITAGUACU DA BAHIA";"2915353";"Vale São-Franciscano da Bahia";"Barra";"1190"
"ITAJU DO COLONIA";"2915403";"Sul Baiano";"Ilhéus-Itabuna";"670"
"ITAMARAJU";"2915601";"Sul Baiano";"Porto Seguro";"20720"
"ITAMARI";"2915700";"Sul Baiano";"Ilhéus-Itabuna";"191"
"ITAMBE";"2915809";"Centro Sul Baiano";"Itapetinga";"2526"
"ITANAGRA";"2915908";"Metropolitana de Salvador";"Catu";"314"
"ITANHEM";"2916005";"Sul Baiano";"Porto Seguro";"3599"
"ITAPARICA";"2916104";"Metropolitana de Salvador";"Salvador";"10063"
"ITAPE";"2916203";"Sul Baiano";"Ilhéus-Itabuna";"2245"
"ITAPEBI";"2916302";"Sul Baiano";"Ilhéus-Itabuna";"1121"
