"municipio";"cod_ibge";"nome_meso";"nome_micro";"count"
"NOVO TRIUNFO";"2923050";"Nordeste Baiano";"Ribeira do Pombal";"535"
"OLINDINA";"2923100";"Nordeste Baiano";"Ribeira do Pombal";"4158"
"OURICANGAS";"2923308";"Centro Norte Baiano";"Feira de Santana";"506"
"OUROLANDIA";"2923357";"Centro Norte Baiano";"Jacobina";"1322"
"PALMAS DE MONTE ALTO";"2923407";"Centro Sul Baiano";"Guanambi";"2578"
"PALMEIRAS";"2923506";"Centro Sul Baiano";"Seabra";"748"
"PARAMIRIM";"2923605";"Centro Sul Baiano";"Livramento do Brumado";"2596"
"PARIPIRANGA";"2923803";"Nordeste Baiano";"Ribeira do Pombal";"4296"
"PAU BRASIL";"2923902";"Sul Baiano";"Ilhéus-Itabuna";"1135"
"PAULO AFONSO";"2924009";"Vale São-Franciscano da Bahia";"Paulo Afonso";"22160"
"PE DE SERRA";"2924058";"Nordeste Baiano";"Serrinha";"1469"
"PEDRAO";"2924108";"Centro Norte Baiano";"Feira de Santana";"192"
"PEDRO ALEXANDRE";"2924207";"Nordeste Baiano";"Jeremoabo";"546"
"PINDAI";"2924504";"Centro Sul Baiano";"Guanambi";"346"
"PINTADAS";"2924652";"Centro Norte Baiano";"Feira de Santana";"687"
"PIRAI DO NORTE";"2924678";"Sul Baiano";"Valença";"652"
"PIRIPA";"2924702";"Centro Sul Baiano";"Brumado";"238"
"PIRITIBA";"2924801";"Centro Norte Baiano";"Jacobina";"4785"
"PLANALTINO";"2924900";"Centro Sul Baiano";"Jequié";"117"
"PLANALTO";"2925006";"Centro Sul Baiano";"Vitória da Conquista";"2472"
"POCOES";"2925105";"Centro Sul Baiano";"Vitória da Conquista";"8392"
"POJUCA";"2925204";"Metropolitana de Salvador";"Catu";"5784"
"PONTO NOVO";"2925253";"Centro Norte Baiano";"Jacobina";"3213"
"PORTO SEGURO";"2925303";"Sul Baiano";"Porto Seguro";"22831"
"POTIRAGUA";"2925402";"Centro Sul Baiano";"Itapetinga";"600"
"PRADO";"2925501";"Sul Baiano";"Porto Seguro";"3945"
"PRESIDENTE DUTRA";"2925600";"Centro Norte Baiano";"Irecê";"4762"
"PRESIDENTE JANIO QUADROS";"2925709";"Centro Sul Baiano";"Brumado";"115"
"PRESIDENTE TANCREDO NEVES";"2925758";"Sul Baiano";"Valença";"4109"
"QUEIMADAS";"2925808";"Nordeste Baiano";"Euclides da Cunha";"4561"
"QUIJINGUE";"2925907";"Nordeste Baiano";"Euclides da Cunha";"5841"
"QUIXABEIRA";"2925931";"Centro Norte Baiano";"Jacobina";"721"
"RAFAEL JAMBEIRO";"2925956";"Centro Norte Baiano";"Feira de Santana";"1577"
"RETIROLANDIA";"2926103";"Nordeste Baiano";"Serrinha";"2207"
"RIACHAO DAS NEVES";"2926202";"Extremo Oeste Baiano";"Barreiras";"1334"
"RIACHAO DO JACUIPE";"2926301";"Nordeste Baiano";"Serrinha";"6922"
"RIBEIRA DO AMPARO";"2926509";"Nordeste Baiano";"Ribeira do Pombal";"272"
"RIBEIRA DO POMBAL";"2926608";"Nordeste Baiano";"Ribeira do Pombal";"13310"
"RIBEIRAO DO LARGO";"2926657";"Centro Sul Baiano";"Itapetinga";"83"
"RIO DE CONTAS";"2926707";"Centro Sul Baiano";"Seabra";"1032"
"RIO DO ANTONIO";"2926806";"Centro Sul Baiano";"Brumado";"230"
"RIO DO PIRES";"2926905";"Centro Sul Baiano";"Livramento do Brumado";"17"
"RIO REAL";"2927002";"Nordeste Baiano";"Alagoinhas";"8117"
"RUY BARBOSA";"2927200";"Centro Norte Baiano";"Itaberaba";"9754"
"SALINAS DA MARGARIDA";"2927309";"Metropolitana de Salvador";"Santo Antônio de Jesus";"3417"
"SALVADOR";"2927408";"Metropolitana de Salvador";"Salvador";"430261"
"SANTA BARBARA";"2927507";"Centro Norte Baiano";"Feira de Santana";"4835"
"SANTA BRIGIDA";"2927606";"Nordeste Baiano";"Jeremoabo";"2601"
"SANTA CRUZ CABRALIA";"2927705";"Sul Baiano";"Porto Seguro";"6158"
"SANTA CRUZ DA VITORIA";"2927804";"Sul Baiano";"Ilhéus-Itabuna";"573"
"SANTA INES";"2927903";"Centro Sul Baiano";"Jequié";"828"
"SANTA LUZIA";"2928059";"Sul Baiano";"Ilhéus-Itabuna";"969"
"SANTA TEREZINHA";"2928505";"Centro Norte Baiano";"Feira de Santana";"2807"
"SANTALUZ";"2928000";"Nordeste Baiano";"Serrinha";"3874"
"SANTANA";"2928208";"Extremo Oeste Baiano";"Santa Maria da Vitória";"5734"
"SANTANOPOLIS";"2928307";"Centro Norte Baiano";"Feira de Santana";"1152"
